DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3153368,12/10/2022 12:02,GOOD,0-3153368,43.08416,5.96448
0-3153368,12/10/2022 11:52,GOOD,0-3153368,43.08885,5.96852
0-3153368,12/10/2022 11:47,GOOD,0-3153368,43.08956,5.97922
0-3153368,12/10/2022 11:42,GOOD,0-3153368,43.08762,5.98429
0-3153368,12/10/2022 11:37,GOOD,0-3153368,43.08732,5.98459
0-3153368,12/10/2022 11:32,GOOD,0-3153368,43.08706,5.98487
0-3153368,12/10/2022 11:27,GOOD,0-3153368,43.0868,5.98515
0-3153368,12/10/2022 11:22,GOOD,0-3153368,43.08657,5.98545
0-3153368,12/10/2022 11:17,GOOD,0-3153368,43.08627,5.98579
0-3153368,12/10/2022 11:12,GOOD,0-3153368,43.08608,5.98611
0-3153368,12/10/2022 11:07,GOOD,0-3153368,43.08586,5.98643
0-3153368,12/10/2022 11:02,GOOD,0-3153368,43.08563,5.98675
0-3153368,12/10/2022 10:57,GOOD,0-3153368,43.08541,5.98706
0-3153368,12/10/2022 10:52,GOOD,0-3153368,43.08515,5.98731
0-3153368,12/10/2022 10:47,GOOD,0-3153368,43.0849,5.98761
0-3153368,12/10/2022 10:42,GOOD,0-3153368,43.08463,5.98791
0-3153368,12/10/2022 10:37,GOOD,0-3153368,43.0844,5.98828
0-3153368,12/10/2022 10:32,GOOD,0-3153368,43.08412,5.9886
0-3153368,12/10/2022 10:27,GOOD,0-3153368,43.08384,5.98892
0-3153368,12/10/2022 10:22,GOOD,0-3153368,43.08358,5.98926
0-3153368,12/10/2022 10:17,GOOD,0-3153368,43.08329,5.98965
0-3153368,12/10/2022 10:12,GOOD,0-3153368,43.083,5.99012
0-3153368,12/10/2022 10:08,GOOD,0-3153368,43.08273,5.99055
0-3153368,12/10/2022 10:02,GOOD,0-3153368,43.08237,5.99109
0-3153368,12/10/2022 9:57,GOOD,0-3153368,43.08207,5.99158
0-3153368,12/10/2022 9:52,GOOD,0-3153368,43.08177,5.99203
0-3153368,12/10/2022 9:47,GOOD,0-3153368,43.0815,5.99248
0-3153368,12/10/2022 9:42,GOOD,0-3153368,43.08122,5.99296
0-3153368,12/10/2022 9:37,GOOD,0-3153368,43.08099,5.99341
0-3153368,12/10/2022 9:32,GOOD,0-3153368,43.08075,5.99388
0-3153368,12/10/2022 9:27,GOOD,0-3153368,43.08055,5.99431
0-3153368,12/10/2022 9:22,GOOD,0-3153368,43.08038,5.99472
0-3153368,12/10/2022 9:17,GOOD,0-3153368,43.08026,5.9951
0-3153368,12/10/2022 9:12,GOOD,0-3153368,43.08012,5.99551
0-3153368,12/10/2022 9:08,GOOD,0-3153368,43.07994,5.9959
0-3153368,12/10/2022 9:03,GOOD,0-3153368,43.07985,5.99641
0-3153368,12/10/2022 8:58,GOOD,0-3153368,43.07978,5.99673
0-3153368,12/10/2022 8:53,GOOD,0-3153368,43.07973,5.9971
0-3153368,12/10/2022 8:48,GOOD,0-3153368,43.07965,5.99733
0-3153368,12/10/2022 8:43,GOOD,0-3153368,43.07969,5.99757
0-3153368,12/10/2022 8:38,GOOD,0-3153368,43.07973,5.99787
0-3153368,12/10/2022 8:33,GOOD,0-3153368,43.07977,5.99813
0-3153368,12/10/2022 8:28,GOOD,0-3153368,43.07977,5.99841
0-3153368,12/10/2022 8:23,GOOD,0-3153368,43.07977,5.9986
0-3153368,12/10/2022 8:18,GOOD,0-3153368,43.0799,5.99927
0-3153368,12/10/2022 8:13,GOOD,0-3153368,43.0802,5.9986
0-3153368,12/10/2022 8:08,GOOD,0-3153368,43.08042,5.99922
0-3153368,12/10/2022 8:03,GOOD,0-3153368,43.07797,5.98564
0-3153368,12/10/2022 7:58,GOOD,0-3153368,43.07825,5.98339
0-3153368,12/10/2022 7:53,GOOD,0-3153368,43.07692,5.9724
0-3153368,12/10/2022 7:48,GOOD,0-3153368,43.07718,5.97291
0-3153368,12/10/2022 7:38,GOOD,0-3153368,43.08315,5.95251
0-3153368,12/10/2022 7:33,GOOD,0-3153368,43.08733,5.93654
0-3153368,12/10/2022 7:28,GOOD,0-3153368,43.08882,5.92221
0-3153368,12/10/2022 7:23,GOOD,0-3153368,43.09873,5.91725
0-3153368,12/10/2022 7:18,GOOD,0-3153368,43.10409,5.90583
0-3153368,12/10/2022 7:13,GOOD,0-3153368,43.1052,5.89292
0-3153368,12/10/2022 7:08,GOOD,0-3153368,43.10501,5.88498
